time,avergp1,sratio1,hh1,ll1,avergp2,sratio2,hh2,ll2,avergp3,sratio3,hh3,ll3,avergp4,sratio4,hh4,ll4,avergp5,sratio5,hh5,ll5
2020-02-24,2.25,66.67,7.99,-3.83,-0.33,22.22,15.12,-5.37,0.45,44.44,9.4,-6.58,-3.69,33.33,6.51,-14.62,-0.49,44.44,9.62,-13.59
2020-02-25,0.04,33.33,3.45,-2.88,0.0,66.67,3.11,-3.23,-4.05,0.0,0,-5.8,-0.77,33.33,1.38,-3.68,0.24,33.33,4.49,-3.78
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,-5.83,0.0,0,-8.86,-2.85,9.09,1.53,-6.2,-1.77,36.36,1.34,-6.31,-0.61,45.45,11.16,-7.88,1.46,63.64,11.22,-6.58
2020-02-28,2.21,100.0,2.21,0,-1.78,0.0,0,-1.78,-1.68,0.0,0,-1.68,-0.72,0.0,0,-0.72,-2.12,0.0,0,-2.12
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0.65,50.0,1.54,-0.25,6.86,100.0,9.82,0,6.42,100.0,10.83,0,4.21,50.0,10.08,-1.65,5.89,100.0,11.08,0
2020-03-04,5.35,100.0,10.1,0,5.92,50.0,14.07,-1.05,2.35,50.0,10.35,-7.91,1.96,50.0,11.36,-2.24,-0.8,25.0,8.59,-4.45
2020-03-05,-0.7,28.57,2.57,-2.9,-3.89,28.57,5.27,-11.02,-4.06,14.29,1.72,-9.94,-6.05,14.29,5.39,-12.06,-8.34,14.29,0.12,-14.64
2020-03-06,-3.28,28.57,4.76,-9.04,-2.3,7.14,8.98,-7.94,-4.03,14.29,5.73,-11.21,-6.36,7.14,1.84,-14.33,-6.7,7.14,1.14,-16.84
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,-1.3,0.0,0,-1.3,-3.5,0.0,0,-3.5,-8.49,0.0,0,-8.49
2020-03-12,-1.18,20.0,2.32,-2.98,-7.21,0.0,0,-11.49
2020-03-13,0,0,0,0
2020-03-16
