time,ping,shangzhang,xiadie,shangzhanglv,zhangting,kaiban,dieting,fengbanlv,zhangdietingbi,lianbanshu,maxlimitmarket,y_lianbankaipanavg,y_lianbanavg,y_shangzhanglv
2018-02-26 00:00:00,364,3078,76,0.8749289368959636,66,51,6,0.4358974358974359,11.0,4,600579,0.2952022101766136,0.5751471048268422,0.9629629629629629
2018-02-27 00:00:00,1435,1537,546,0.4368959636156907,52,33,4,0.38823529411764707,13.0,4,603616,0.1934472014649616,0.32171140080286104,0.8059701492537313
2018-02-28 00:00:00,922,1407,1189,0.3999431495167709,31,27,11,0.46551724137931033,2.8181818181818183,4,603616,0.01911722995042354,0.085261865355427,0.5094339622641509
2018-03-01 00:00:00,677,2630,211,0.747583854462763,67,31,0,0.3163265306122449,1,4,603616,0.14098004701341096,0.29835621143134033,0.7941176470588235
2018-03-02 00:00:00,1844,957,717,0.2720295622512791,30,28,3,0.4827586206896552,10.0,3,300056,0.23456416487452747,0.09340900710098292,0.44285714285714284
2018-03-05 00:00:00,799,1930,789,0.5486071631608869,41,29,1,0.4142857142857143,41.0,3,600577,0.36049600012881905,0.48387701469040706,0.71875
2018-03-06 00:00:00,734,2487,297,0.7069357589539511,49,39,1,0.4431818181818182,49.0,4,300624,0.22038836695565556,0.32342755092021297,0.6976744186046512
2018-03-07 00:00:00,1277,879,1362,0.24985787379192723,31,31,1,0.5,31.0,5,300624,0.22276511840570853,0.12112089869001787,0.54
2018-03-08 00:00:00,557,2311,650,0.6569073337123366,63,35,1,0.35714285714285715,63.0,6,300624,0.18696661426140826,0.4668836450824289,0.6875
2018-03-09 00:00:00,659,2716,143,0.7720295622512792,70,43,1,0.3805309734513274,70.0,6,300624,0.347589313900866,0.32860395088845124,0.6875
2018-03-12 00:00:00,560,2763,195,0.7853894258101194,62,60,0,0.4918032786885246,1,6,300624,0.40167980511385193,0.41993893878434446,0.8611111111111112
